구간,경도,위도,고도
1,126.971662,35.126248,299
2,126.97168,35.126213,299
3,126.971708,35.126172,299
4,126.971717,35.126169,299
5,126.97173,35.126145,299
6,126.971732,35.126096,303
7,126.971723,35.126029,303
8,126.971773,35.126036,308
9,126.971783,35.126005,308
10,126.971825,35.125988,308
11,126.971842,35.12596,308
12,126.971857,35.125939,308
13,126.971878,35.125919,308
14,126.9719,35.125876,308
15,126.971916,35.125858,308
16,126.971932,35.125827,306
17,126.971955,35.125809,306
18,126.97197,35.125779,306
19,126.97199,35.125761,306
20,126.972001,35.125737,306
21,126.972031,35.12571,311
22,126.972059,35.125695,311
23,126.972069,35.125685,311
24,126.972092,35.125661,311
25,126.972115,35.125612,311
26,126.972166,35.125597,311
27,126.972183,35.125597,311
28,126.972205,35.125569,311
29,126.972215,35.125532,305
30,126.972227,35.125511,305
31,126.972245,35.125495,305
32,126.972258,35.125456,305
33,126.972289,35.125432,305
34,126.972316,35.125415,311
35,126.972324,35.125378,311
36,126.972337,35.12536,311
37,126.97236,35.125221,309
38,126.972391,35.125193,309
39,126.972406,35.125171,309
40,126.972417,35.125132,309
41,126.972419,35.125111,309
42,126.972438,35.125136,309
43,126.972449,35.12512,309
44,126.972473,35.125105,309
45,126.972488,35.12507,309
46,126.972516,35.125025,309
47,126.972545,35.124994,304
48,126.972562,35.124949,304
49,126.972567,35.12491,304
50,126.972552,35.124884,304
51,126.972544,35.124854,304
52,126.972547,35.124829,304
53,126.972575,35.124805,304
54,126.972588,35.124764,315
55,126.972591,35.124735,315
56,126.972575,35.124711,305
57,126.972597,35.124676,317
58,126.972608,35.124652,317
59,126.972629,35.124622,317
60,126.972636,35.124601,317
61,126.972656,35.124563,317
62,126.972675,35.124551,317
63,126.972692,35.12454,317
64,126.972721,35.124523,317
65,126.972755,35.124496,317
66,126.972786,35.12447,317
67,126.97281,35.124454,317
68,126.972861,35.124427,316
69,126.972864,35.1244,328
70,126.972874,35.124378,328
71,126.972885,35.124358,328
72,126.972882,35.12433,328
73,126.972873,35.124282,328
74,126.972904,35.12426,328
75,126.97291,35.124243,328
76,126.972933,35.124208,328
77,126.972967,35.124193,328
78,126.973009,35.12418,328
79,126.97302,35.124169,322
80,126.973059,35.124152,322
81,126.973099,35.124113,322
82,126.973111,35.124114,322
83,126.973143,35.124104,327
84,126.973177,35.124103,327
85,126.973217,35.124091,327
86,126.973246,35.124096,327
87,126.973287,35.124088,327
88,126.97329,35.124085,327
89,126.973315,35.124091,327
90,126.973376,35.124108,327
91,126.973413,35.124118,327
92,126.973474,35.124101,333
93,126.973506,35.124084,333
94,126.973524,35.124077,333
95,126.973568,35.124066,333
96,126.973606,35.124055,333
97,126.973626,35.124045,333
98,126.973666,35.124043,333
99,126.973694,35.124022,333
100,126.973701,35.124033,339
