구간,경도,위도,고도
901,126.99614,35.117463,828
902,126.996229,35.117418,838
903,126.996225,35.117444,838
904,126.996289,35.117408,838
905,126.996281,35.117413,838
906,126.996298,35.117376,838
907,126.996319,35.117373,838
908,126.996333,35.11738,838
909,126.996421,35.117355,838
910,126.996431,35.11734,838
911,126.996397,35.117304,838
912,126.996437,35.117296,838
913,126.99646,35.117259,838
914,126.996504,35.117255,848
915,126.996545,35.117237,848
916,126.99657,35.117247,848
917,126.99658,35.117201,847
918,126.996586,35.117195,847
919,126.996611,35.117195,847
920,126.996658,35.117203,847
921,126.99662,35.117171,847
922,126.996669,35.117164,847
923,126.996706,35.117149,847
924,126.996689,35.117148,847
925,126.996701,35.117148,847
926,126.996782,35.117121,850
927,126.996804,35.117085,850
928,126.996817,35.117082,850
929,126.99684,35.117063,850
930,126.996893,35.117063,850
931,126.996954,35.117072,850
932,126.996983,35.117047,850
933,126.997009,35.117054,850
934,126.997036,35.11704,858
935,126.997057,35.117016,858
936,126.997086,35.117009,858
937,126.997088,35.117003,858
938,126.997123,35.116979,858
939,126.99717,35.116978,858
940,126.99718,35.116973,858
941,126.997198,35.116964,858
942,126.997227,35.11692,859
943,126.997257,35.116937,859
944,126.99729,35.116929,859
945,126.997308,35.116936,871
946,126.997311,35.116921,871
947,126.997392,35.116883,871
948,126.997392,35.116883,871
949,126.997406,35.116876,871
950,126.997432,35.116887,871
951,126.997469,35.116872,871
952,126.997463,35.116855,871
953,126.99749,35.116839,871
954,126.997562,35.116836,871
955,126.997569,35.116805,871
956,126.997581,35.116777,871
957,126.997594,35.116777,880
958,126.997607,35.116754,880
959,126.997638,35.116728,880
960,126.99769,35.116725,880
961,126.997702,35.116742,880
962,126.997729,35.116692,880
963,126.997754,35.116686,880
964,126.997774,35.116663,880
965,126.99779,35.116647,880
966,126.997815,35.11664,880
967,126.997851,35.116624,880
968,126.997856,35.11663,880
969,126.997918,35.116636,884
970,126.99795,35.116631,884
971,126.997986,35.116625,884
972,126.997988,35.116645,884
973,126.99804,35.116593,884
974,126.99807,35.116577,884
975,126.998097,35.116572,884
976,126.998121,35.11657,884
977,126.998131,35.116574,884
978,126.998174,35.116551,889
979,126.998196,35.116549,889
980,126.998224,35.11656,889
981,126.998249,35.116554,889
982,126.998267,35.116548,889
983,126.998304,35.116525,889
984,126.998317,35.116535,889
985,126.998354,35.116506,889
986,126.998383,35.116501,889
987,126.998413,35.116479,889
988,126.998452,35.116469,898
989,126.998469,35.116472,898
990,126.998501,35.116446,898
991,126.99851,35.116423,898
992,126.99853,35.11641,898
993,126.998565,35.116412,898
994,126.998558,35.116384,897
995,126.998559,35.116355,897
996,126.998569,35.116318,897
997,126.998588,35.116305,897
998,126.998611,35.116306,897
